siKoda;normalizirana;SLOVENSKI NAZIV
V24.01;V2401;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, voznik, poškodovan v neprometni nezgodi, cestni motocikel
V24.02;V2402;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, voznik, poškodovan v neprometni nezgodi, terenski motocikel
V24.08;V2408;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, voznik, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V24.09;V2409;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, voznik, poškodovan v neprometni nezgodi, neopredeljen motocikel
V24.1;V241;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v neprometni nezgodi
V24.10;V2410;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V24.11;V2411;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v neprometni nezgodi, cestni motocikel
V24.12;V2412;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v neprometni nezgodi, terenski motocikel
V24.18;V2418;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V24.19;V2419;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v neprometni nezgodi, neopredeljen motocikel
V24.2;V242;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi
V24.20;V2420;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V24.21;V2421;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, cestni motocikel
V24.22;V2422;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, terenski motocikel
V24.28;V2428;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V24.29;V2429;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, neopredeljen motocikel
V24.3;V243;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega
V24.30;V2430;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, moped ali kolo z motorjem
V24.31;V2431;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, cestni motocikel
V24.32;V2432;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, terenski motocikel
V24.38;V2438;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, drug opredeljen motocikel
V24.39;V2439;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, neopredeljen motocikel
V24.4;V244;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, voznik, poškodovan v prometni nezgodi
V24.40;V2440;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, voznik, poškodovan v prometni nezgodi, moped ali kolo z motorjem
V24.41;V2441;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, voznik, poškodovan v prometni nezgodi, cestni motocikel
V24.42;V2442;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, voznik, poškodovan v prometni nezgodi, terenski motocikel
V24.48;V2448;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, voznik, poškodovan v prometni nezgodi, drug opredeljen motocikel
V24.49;V2449;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, voznik, poškodovan v prometni nezgodi, neopredeljen motocikel
V24.5;V245;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v prometni nezgodi
V24.50;V2450;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v prometni nezgodi, moped ali kolo z motorjem
V24.51;V2451;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v prometni nezgodi, cestni motocikel
V24.52;V2452;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v prometni nezgodi, terenski motocikel
V24.58;V2458;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v prometni nezgodi, drug opredeljen motocikel
V24.59;V2459;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, potnik, poškodovan v prometni nezgodi, neopredeljen motocikel
V24.9;V249;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi
V24.90;V2490;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, moped ali kolo z motorjem
V24.91;V2491;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, cestni motocikel
V24.92;V2492;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, terenski motocikel
V24.98;V2498;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, drug opredeljen motocikel
V24.99;V2499;Motorist, poškodovan pri trčenju s  težkim transportnim vozilom ali z avtobusom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, neopredeljen motocikel
V25;V25;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih
V25.0;V250;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v neprometni nezgodi
V25.00;V2500;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V25.01;V2501;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v neprometni nezgodi, cestni motocikel
V25.02;V2502;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v neprometni nezgodi, terenski motocikel
V25.08;V2508;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V25.09;V2509;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v neprometni nezgodi, neopredeljen motocikel
V25.1;V251;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v neprometni nezgodi
V25.10;V2510;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V25.11;V2511;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v neprometni nezgodi, cestni motocikel
V25.12;V2512;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v neprometni nezgodi, terenski motocikel
V25.18;V2518;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V25.19;V2519;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v neprometni nezgodi, neopredeljen motocikel
V25.2;V252;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi
V25.20;V2520;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V25.21;V2521;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, cestni motocikel
V25.22;V2522;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, terenski motocikel
V25.28;V2528;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V25.29;V2529;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, neopredeljen motocikel
V25.3;V253;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega
V25.30;V2530;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, moped ali kolo z motorjem
V25.31;V2531;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, cestni motocikel
V25.32;V2532;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, terenski motocikel
V25.38;V2538;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, drug opredeljen motocikel
V25.39;V2539;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, neopredeljen motocikel
V25.4;V254;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v prometni nezgodi
V25.40;V2540;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v prometni nezgodi, moped ali kolo z motorjem
V25.41;V2541;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v prometni nezgodi, cestni motocikel
V25.42;V2542;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v prometni nezgodi, terenski motocikel
V25.48;V2548;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v prometni nezgodi, drug opredeljen motocikel
V25.49;V2549;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, voznik, poškodovan v prometni nezgodi, neopredeljen motocikel
V25.5;V255;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v prometni nezgodi
V25.50;V2550;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v prometni nezgodi, moped ali kolo z motorjem
V25.51;V2551;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v prometni nezgodi, cestni motocikel
V25.52;V2552;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v prometni nezgodi, terenski motocikel
V25.58;V2558;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v prometni nezgodi, drug opredeljen motocikel
V25.59;V2559;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, potnik, poškodovan v prometni nezgodi, neopredeljen motocikel
V25.9;V259;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju, poškodovana v prometni nezgodi
V25.90;V2590;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, moped ali kolo z motorjem
V25.91;V2591;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, cestni motocikel
V25.92;V2592;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, terenski motocikel
V25.98;V2598;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, drug opredeljen motocikel
V25.99;V2599;Motorist, poškodovan pri trčenju z vlakom ali vozilom na tirih, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, neopredeljen motocikel
V26;V26;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom
V26.0;V260;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v neprometni nezgodi
V26.00;V2600;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V26.01;V2601;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v neprometni nezgodi, cestni motocikel
V26.02;V2602;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v neprometni nezgodi, terenski motocikel
V26.08;V2608;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V26.09;V2609;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v neprometni nezgodi, neopredeljen motocikel
V26.1;V261;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v neprometni nezgodi
V26.10;V2610;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V26.11;V2611;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v neprometni nezgodi, cestni motocikel
V26.12;V2612;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v neprometni nezgodi, terenski motocikel
V26.18;V2618;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V26.19;V2619;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v neprometni nezgodi, neopredeljen motocikel
V26.2;V262;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi
V26.20;V2620;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V26.21;V2621;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, cestni motocikel
V26.22;V2622;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, terenski motocikel
V26.28;V2628;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V26.29;V2629;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, neopredeljen motocikel
V26.3;V263;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega
V26.30;V2630;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, moped ali kolo z motorjem
V26.31;V2631;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, cestni motocikel
V26.32;V2632;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, terenski motocikel
V26.38;V2638;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, drug opredeljen motocikel
V26.39;V2639;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, neopredeljen motocikel
V26.4;V264;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v prometni nezgodi
V26.40;V2640;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v prometni nezgodi, moped ali kolo z motorjem
V26.41;V2641;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v prometni nezgodi, cestni motocikel
V26.42;V2642;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v prometni nezgodi, terenski motocikel
V26.48;V2648;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v prometni nezgodi, drug opredeljen motocikel
V26.49;V2649;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, voznik, poškodovan v prometni nezgodi, neopredeljen motocikel
V26.5;V265;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v prometni nezgodi
V26.50;V2650;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v prometni nezgodi, moped ali kolo z motorjem
V26.51;V2651;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v prometni nezgodi, cestni motocikel
V26.52;V2652;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v prometni nezgodi, terenski motocikel
V26.58;V2658;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v prometni nezgodi, drug opredeljen motocikel
V26.59;V2659;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, potnik, poškodovan v prometni nezgodi, neopredeljen motocikel
V26.9;V269;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi
V26.90;V2690;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, moped ali kolo z motorjem
V26.91;V2691;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, cestni motocikel
V26.92;V2692;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, terenski motocikel
V26.98;V2698;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, drug opredeljen motocikel
V26.99;V2699;Motorist, poškodovan pri trčenju z druge vrste nemotornim vozilom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, neopredeljen motocikel
V27;V27;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom
V27.0;V270;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v neprometni nezgodi
V27.00;V2700;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V27.01;V2701;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v neprometni nezgodi, cestni motocikel
V27.02;V2702;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v neprometni nezgodi, terenski motocikel
V27.08;V2708;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V27.09;V2709;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v neprometni nezgodi, neopredeljen motocikel
V27.1;V271;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v neprometni nezgodi
V27.10;V2710;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V27.11;V2711;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v neprometni nezgodi, cestni motocikel
V27.12;V2712;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v neprometni nezgodi, terenski motocikel
V27.18;V2718;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V27.19;V2719;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v neprometni nezgodi, neopredeljen motocikel
V27.2;V272;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi
V27.20;V2720;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V27.21;V2721;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, cestni motocikel
V27.22;V2722;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, terenski motocikel
V27.28;V2728;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V27.29;V2729;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, neopredeljen motocikel
V27.3;V273;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega
V27.30;V2730;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, moped ali kolo z motorjem
V27.31;V2731;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, cestni motocikel
V27.32;V2732;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, terenski motocikel
V27.38;V2738;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, drug opredeljen motocikel
V27.39;V2739;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, oseba, poškodovana med vsedanjem na motor ali sestopanjem z njega, neopredeljen motocikel
V27.4;V274;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v prometni nezgodi
V27.40;V2740;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v prometni nezgodi, moped ali kolo z motorjem
V27.41;V2741;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v prometni nezgodi, cestni motocikel
V27.42;V2742;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v prometni nezgodi, terenski motocikel
V27.48;V2748;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v prometni nezgodi, drug opredeljen motocikel
V27.49;V2749;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, voznik, poškodovan v prometni nezgodi, neopredeljen motocikel
V27.5;V275;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v prometni nezgodi
V27.50;V2750;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v prometni nezgodi, moped ali kolo z motorjem
V27.51;V2751;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v prometni nezgodi, cestni motocikel
V27.52;V2752;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v prometni nezgodi, terenski motocikel
V27.58;V2758;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v prometni nezgodi, drug opredeljen motocikel
V27.59;V2759;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, potnik, poškodovan v prometni nezgodi, neopredeljen motocikel
V27.9;V279;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi
V27.90;V2790;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, moped ali kolo z motorjem
V27.91;V2791;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, cestni motocikel
V27.92;V2792;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, terenski motocikel
V27.98;V2798;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, drug opredeljen motocikel
V27.99;V2799;Motorist, poškodovan pri trčenju z nepremičnim ali mirujočim predmetom, neopredeljena oseba na motorju, poškodovana v prometni nezgodi, neopredeljen motocikel
V28;V28;Motorist, poškodovan v transportni nezgodi brez trčenja
V28.0;V280;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v neprometni nezgodi
V28.00;V2800;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V28.01;V2801;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v neprometni nezgodi, cestni motocikel
V28.02;V2802;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v neprometni nezgodi, terenski motocikel
V28.08;V2808;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V28.09;V2809;Motorist, poškodovan v transportni nezgodi brez trčenja, voznik, poškodovan v neprometni nezgodi, neopredeljen motocikel
V28.1;V281;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v neprometni nezgodi
V28.10;V2810;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V28.11;V2811;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v neprometni nezgodi, cestni motocikel
V28.12;V2812;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v neprometni nezgodi, terenski motocikel
V28.18;V2818;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v neprometni nezgodi, drug opredeljen motocikel
V28.19;V2819;Motorist, poškodovan v transportni nezgodi brez trčenja, potnik, poškodovan v neprometni nezgodi, neopredeljen motocikel
V28.2;V282;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi
V28.20;V2820;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, moped ali kolo z motorjem
V28.21;V2821;Motorist, poškodovan v transportni nezgodi brez trčenja, neopredeljena oseba na motorju ali potnik na motorju, poškodovan v neprometni nezgodi, cestni motocikel
